POS,PLAYER,TEAM,MAT,INN,RUNS,HS,100s,50s,AVG
1,Karanbir Singh,Austria,32,32,1488,115,2,13,51.31
2,Fiaz Ahmed,Bahrain,40,37,1251,105*,1,7,50.04
3,P Kurup,Bahrain,39,38,1037,73*,0,6,31.42
4,Bilal Zalmai,Austria,36,35,1008,79*,0,9,31.5
5,Asif Ali,Bahrain,32,30,955,100*,1,7,35.37
6,BJ Bennett,Zimbabwe,25,25,936,111,1,6,37.44
7,Abhishek Sharma,India,20,20,825,135,1,5,43.42
8,Anshy Rath,Hong Kong,21,21,814,100*,1,5,40.7
9,Tanzid Hasan,Bangladesh,27,27,775,89,0,8,32.29
10,Sahibzada Farhan,Pakistan,26,26,771,80*,0,7,30.84
11,Sohail Ahmed,Bahrain,32,28,755,76*,0,5,62.91
12,Virandeep Singh,MAS,27,22,739,93*,0,7,41.05
13,Muhammad Waseem,U.A.E.,22,22,669,84,0,5,30.4
14,A Sharafu,U.A.E.,21,20,664,86,0,6,36.88
15,Sami Sohail,Malawi,20,20,641,96*,0,4,33.73
16,Liton Das,Bangladesh,25,25,635,76,0,5,27.6
17,J Baker,CAY,14,14,628,94,0,7,52.33
18,Pathum Nissanka,Sri Lanka,18,18,625,107,1,4,36.76
19,Aqib Iqbal,Austria,36,30,625,66*,0,2,27.17
20,Agha Salman,Pakistan,34,32,625,63*,0,5,26.04
21,Zeeshan Ali,Hong Kong,21,21,581,101,1,2,27.66
22,Saim Ayub,Pakistan,29,29,581,71*,0,4,20.75
23,Tim Seifert,New Zealand,16,14,559,97*,0,3,50.81
24,Ryan Burl,Zimbabwe,25,25,558,67*,0,1,31
25,Shai Hope,West Indies,19,19,556,102*,1,4,34.75
26,Sikandar Raza,Zimbabwe,25,25,536,54*,0,2,24.36
27,Parvez Hossain Emon,Bangladesh,23,23,519,100,1,3,24.71
28,Fakhar Zaman,Pakistan,22,21,512,77*,0,2,28.44
29,Kushal Bhurtel,NEP,17,16,509,81,0,4,31.81
30,Syed Aziz,MAS,27,23,499,67,0,2,24.95
31,NT Tilak Varma,India,19,17,494,72*,0,3,44.9
32,Towhid Hridoy,Bangladesh,25,22,493,83*,0,2,25.94
33,I Danladi,Nigeria,21,19,490,64,0,4,28.82
34,Ahmer Bin,Bahrain,40,26,487,61*,0,2,30.43
35,GA Priandana,Indonesia,27,25,484,52*,0,2,23.04
36,Jos Buttler,England,15,14,480,96,0,3,34.28
37,DK Kesuma,Indonesia,33,30,477,115*,1,1,19.08
38,Abbas Ghani,Hungary,16,16,459,66,0,5,28.68
39,H Lakov,Bulgaria,11,11,458,78,0,3,50.88
40,Hasan Nawaz,Pakistan,25,24,457,105*,1,2,20.77
41,Walid Ghauri,Norway,14,14,455,100*,1,3,37.91
42,Mitchell Marsh,Australia,16,14,454,103*,1,2,37.83
43,Ibrahim Zadran,Afghanistan,14,14,453,65,0,5,34.84
44,YS Samra,Canada,16,15,442,63,0,3,36.83
45,Philip Salt,England,12,11,434,141*,1,3,43.4
46,D Brevis,South Africa,16,16,433,125*,1,1,30.92
47,R Mazumder,Cyprus,10,10,433,80*,0,4,72.16
48,Tadiwanashe Marumani,Zimbabwe,19,19,432,74*,0,4,24
49,Mohammad Haris,Pakistan,26,25,429,107*,1,1,18.65
50,Arun Yadav,Tanzania,11,11,421,86,0,3,42.1
51,M Gogev,Bulgaria,11,11,416,77*,0,4,41.6
52,Raghav Dhawan,Uganda,11,11,414,56,0,3,46
53,D Ndikubwimana,Rwanda,16,16,411,82*,0,3,27.4
54,TB Robinson,New Zealand,15,12,402,106*,1,1,44.66
55,Ahmad Ramdoni,Indonesia,34,25,399,46,0,0,19.95
56,TH David,Australia,14,10,395,102*,1,3,49.37
57,Aasif Sheikh,NEP,14,13,394,69,0,4,32.83
58,Abdul Waheed,KSA,12,12,393,82,0,3,32.75
59,DMW Rawlins,BER,13,12,393,77,0,3,39.3
60,Saif Hassan,Bangladesh,16,15,391,69,0,3,30.07
61,Kusal Mendis,Sri Lanka,18,18,388,74*,0,2,24.25
62,Rahmanullah Gurbaz,Afghanistan,14,14,384,92,0,1,27.42
63,Jaker Ali,Bangladesh,26,23,378,55,0,1,22.23
64,Sediqullah Atal,Afghanistan,13,13,374,73*,0,3,34
65,Imal Zuwak,Sweden,11,11,373,70,0,3,37.3
66,Babar Hayat,Hong Kong,21,21,370,67,0,2,20.55
67,V Ravindran,Hungary,12,12,367,77,0,3,33.36
68,MD Patel,U.S.A.,9,6,365,104,1,3,73
69,Mohammad Nawaz,Pakistan,26,22,362,38*,0,0,19.05
70,A Limdawala,Malawi,20,20,362,68,0,2,18.1
71,Kusal Perera,Sri Lanka,17,16,357,101,1,1,23.8
72,A Donovan,Philippines,12,11,355,122*,1,1,59.16
73,Luka Woods,Serbia,5,5,342,112,1,3,114
74,Jatinder Singh,Oman,11,11,342,66,0,3,31.09
75,Faisal Khan,KSA,12,12,341,70,0,3,28.41
